epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.763,1.5194,1.97792,1.46682,0.73654,0.6298,0.69203,0.34576,1.69461,1.63635,1.67448,0.000665897,0.000665897,0.000665897
2,230.325,1.57381,1.45526,1.52193,0.7985,0.71077,0.7925,0.4243,1.56066,1.20084,1.49363,0.00130618,0.00130618,0.00130618
3,344.404,1.58262,1.40036,1.52211,0.80478,0.75111,0.81256,0.43524,1.54438,1.10268,1.51517,0.00192006,0.00192006,0.00192006
4,458.771,1.54439,1.29043,1.50732,0.82525,0.80915,0.85805,0.47003,1.52426,0.99737,1.4748,0.0018812,0.0018812,0.0018812
5,572.403,1.47912,1.19864,1.46446,0.85049,0.83178,0.87966,0.49778,1.47163,0.96136,1.45222,0.0018416,0.0018416,0.0018416
6,683.39,1.43721,1.1165,1.42428,0.83403,0.83128,0.86746,0.50312,1.45107,0.95396,1.4397,0.001802,0.001802,0.001802
7,795.62,1.41619,1.07364,1.42161,0.87126,0.85221,0.90025,0.53979,1.38835,0.86788,1.35273,0.0017624,0.0017624,0.0017624
8,907.73,1.38087,1.02385,1.38973,0.90182,0.86227,0.91774,0.55863,1.35362,0.80322,1.33533,0.0017228,0.0017228,0.0017228
9,1018.98,1.36353,0.99966,1.38338,0.90288,0.87336,0.9227,0.57467,1.32789,0.76379,1.34103,0.0016832,0.0016832,0.0016832
10,1130.29,1.34689,0.98462,1.37231,0.8748,0.88671,0.91696,0.56679,1.33849,0.76804,1.32883,0.0016436,0.0016436,0.0016436
11,1242.23,1.33999,0.95784,1.36139,0.90877,0.87704,0.92165,0.57127,1.32638,0.75997,1.33938,0.001604,0.001604,0.001604
12,1354.56,1.31422,0.92342,1.34744,0.89403,0.86768,0.91704,0.58473,1.2779,0.73932,1.29183,0.0015644,0.0015644,0.0015644
13,1467.44,1.29258,0.88917,1.33529,0.90954,0.9001,0.93759,0.60229,1.27309,0.68908,1.28924,0.0015248,0.0015248,0.0015248
14,1580.02,1.29107,0.89668,1.3354,0.90067,0.909,0.93466,0.60075,1.25985,0.69474,1.28972,0.0014852,0.0014852,0.0014852
